"Library","Qty","Parts","Description","Value","Package","MF","MPN","OC_FARNELL","OC_NEWARK","PROD_ID","RS-PART","VALUE",
"INSTRUO","3","CARRIER, MODULATOR, OUTPUT","","","S_JACK","","","","","","","",
"INSTRUO","2","CARRIERAC, MODAC","","","TOGGLE_ON_OFF_ON","","","","","","","",
"INSTRUO","1","TR1","","10K","TRIMMER_TH3","","","","","","","",
"GMSN","4","MICMIX, MIX, VOLCARIER, VOLMOD","","9MMPOT","POT","","","","","","","",
"ad633-2","1","MP1","","AD633AN","DIL08","","","","","","","",
"SparkFun-Capacitors","2","C2, C3","0.1µF ceramic capacitors","1uF","CAP-PTH-SMALL-KIT","","","","","CAP-08370","","0.1uF",
"SparkFun-Capacitors","1","C5","0.1µF ceramic capacitors","4u7f","CAP-PTH-SMALL-KIT","","","","","CAP-08370","","0.1uF",
"SparkFun-Capacitors","2","C1, C4","10.0µF polarized capacitors","10uF","CPOL-RADIAL-2.5MM-5MM","","","","","CAP-08440","","10uF",
"SparkFun-Resistors","1","R14","330Ω resistor","100","AXIAL-0.3","","","","","RES-8371","","330",
"SparkFun-Resistors","2","R13, R15","330Ω resistor","10K","AXIAL-0.3","","","","","RES-8371","","330",
"SparkFun-Resistors","3","R5, R8, R9","330Ω resistor","1K","AXIAL-0.3","","","","","RES-8371","","330",
"SparkFun-Resistors","2","R6, R7","330Ω resistor","1M","AXIAL-0.3","","","","","RES-8371","","330",
"SparkFun-Resistors","1","R1","330Ω resistor","20K","AXIAL-0.3","","","","","RES-8371","","330",
"SparkFun-Resistors","3","R2, R10, R16","330Ω resistor","27K","AXIAL-0.3","","","","","RES-8371","","330",
"SparkFun-Resistors","1","R11","330Ω resistor","316K","AXIAL-0.3","","","","","RES-8371","","330",
"SparkFun-Resistors","1","R12","330Ω resistor","330K","AXIAL-0.3","","","","","RES-8371","","330",
"SparkFun-Resistors","2","R3, R4","330Ω resistor","4k7","AXIAL-0.3","","","","","RES-8371","","330",
"adafruit","2","D1, D2","Diode","","DO-1N4148","","","","","","","",
"SparkFun-Connectors","1","POWER","Header 5x2","M05X2SHD","2X5-SHROUDED","","","","","","","",
"con-neutrik_ag","1","X1","Neutrik Audio Connector XLR SERIES","NC3FD-V","NC3FD-V","FARNELL","NC3FDV","308869","07WX7308","","448-244","",
"GMSN-R2Project","1","IC2","OP AMP","TL072P","DIL08","","","","","","","",
"GMSN","1","IC1","OP AMP","TL074P","DIL14","","","","","","","",
